,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount,high_low,pct_high_low,amount_w,amount_y,pre_amount_w,amount_change,pct_amount_change,amount_w_1,amount_w_2,amount_w_3,amount_change_1,amount_change_2,amount_change_3,pct_amount_change_1,pct_amount_change_2,pct_amount_change_3,amount_up,PB,MA5,MA10,MA20,MA30,RSI6,RSI12,RSI24,MTM,CCI,EMA12,EMA26,DIF,DEA,MACD,K,D,J,BOLL_UPPER,BOLL_MIDDLE,BOLL_LOWER
365,399001.SZ,20190711,9152.7709,9216.9495,9282.9475,9121.4553,9166.1466,-13.3757,-0.1459,190345675.0,196286736.1,161.4922000000006,1.76,19628673.61,1962.87,19036378.7,592294.91,3.11,19036378.7,19752208.67,26259213.62,592294.9100000001,-715829.9700000025,-6507004.949999999,3.11,-3.62,-24.78,1,2.42,9229.440959999996,9318.964790000007,9177.602370000002,9067.00388666666,66.56237702001889,42.50009895581848,36.95547124916313,267.0680000000011,-34.74322368342924,9295.963108333337,9097.646730769231,198.316377564106,197.79452279202673,1.0437095441585598,21.11945649036331,28.14416371642005,7.070042038249831,9610.436888205979,9177.602370000013,8744.767851794048
366,399001.SZ,20190710,9166.1466,9231.8567,9239.2839,9130.5274,9198.7851,-32.6385,-0.3548,187294334.0,190363787.0,108.7564999999995,1.19,19036378.7,1903.64,19752208.67,-715829.97,-3.62,19752208.67,26259213.62,21110387.57,-715829.9700000025,-6507004.949999999,5148826.050000001,-3.62,-24.78,24.39,0,2.43,9272.547699999996,9327.636090000005,9167.544150000002,9062.256789999992,74.81377402823558,47.56872201385984,41.34517584390566,379.3755999999994,-37.750067892104425,9293.074025000004,9082.089057692308,210.98496730769511,186.25395028490414,49.46203404558196,24.49613079972093,21.45739680403716,30.57359879108847,9611.427642893454,9167.544150000012,8723.660657106571
367,399001.SZ,20190709,9198.7851,9178.907,9221.7191,9119.6537,9186.2871,12.498,0.1361,188090827.0,197522086.7,102.0653999999995,1.11,19752208.67,1975.22,26259213.62,-6507004.95,-24.78,26259213.62,21110387.57,23622921.86,-6507004.949999999,5148826.050000001,-2512534.289999999,-24.78,24.39,-10.64,0,2.43,9323.286159999996,9323.263980000007,9156.97263,9057.908349999992,72.25040012174586,47.6837776659841,41.40397822052729,331.6788000000015,-103.18910413848025,9296.904908333338,9070.198288461539,226.70661987179847,171.82126517094386,109.77070940170921,31.800869418244847,25.805485569443064,43.79163711584842,9610.452821137258,9156.972630000013,8703.492438862768
368,399001.SZ,20190708,9186.2871,9419.688,9420.2382,9124.1595,9443.2151,-256.928,-2.7208,260279958.0,262592136.2,296.0787,3.22,26259213.62,2625.92,21110387.57,5148826.05,24.39,21110387.57,23622921.86,26943943.46,5148826.050000001,-2512534.289999999,-3321021.6000000015,24.39,-10.64,-12.33,1,2.43,9392.633579999996,9315.195660000007,9148.91704,9050.609729999995,36.83365281832242,43.81488983621781,44.25313417246092,-7.973599999999351,-134.58558122521933,9298.19509166667,9059.579423076922,238.61566858974766,154.4225267806299,168.3862836182355,36.835732242213886,31.044244153393254,48.41870841985516,9604.857302678283,9148.917040000011,8692.976777321739
369,399001.SZ,20190705,9443.2151,9379.9388,9464.3904,9345.788,9368.3046,74.9105,0.7996,198703077.0,211103875.7,118.60239999999976,1.26,21110387.57,2111.04,23622921.86,-2512534.29,-10.64,23622921.86,26943943.46,30911880.96,-2512534.289999999,-3321021.6000000015,-3967937.5,-10.64,-12.33,-12.84,0,2.49,9461.468939999995,9317.778670000007,9125.19198,9036.959009999993,42.68958881112592,35.52040641397953,45.911811510791345,-203.73120000000017,-180.07267455692354,9293.917775000004,9050.235649999999,243.68212500000482,132.78004565527328,221.80415868946307,25.72108107603634,31.45256091216506,14.258121403778908,9618.717492691807,9125.191980000012,8631.666467308218
370,399001.SZ,20190704,9368.3046,9435.0422,9466.0203,9323.0737,9419.8389,-51.5343,-0.5471,232802183.0,236229218.6,142.9465999999993,1.53,23622921.86,2362.29,26943943.46,-3321021.6,-12.33,26943943.46,30911880.96,34757535.22,-3321021.6000000015,-3967937.5,-3845654.259999998,-12.33,-12.84,-11.06,0,2.48,9408.488619999995,9294.883890000006,9082.2782,9015.83633333333,35.19661855041836,31.719209024681085,46.434573215646594,-245.8791000000001,-145.6614465110081,9250.79394166667,9033.5873,217.2066416666712,106.14183945869162,222.12960441595916,18.07410152203897,26.87697161342977,0.46836133925736334,9606.060472591022,9082.278200000012,8558.495927409002
371,399001.SZ,20190703,9419.8389,9519.7998,9520.379,9376.3071,9545.5222,-125.6833,-1.3167,260472592.0,269439434.6,144.07190000000082,1.53,26943943.46,2694.39,30911880.96,-3967937.5,-12.84,30911880.96,34757535.22,23187170.03,-3967937.5,-3845654.259999998,11570365.189999998,-12.84,-11.06,49.9,0,2.49,9382.724479999995,9271.549360000006,9051.165280000001,9004.933636666661,34.924917326681395,31.019979925513375,48.13167356842214,-301.737000000001,-100.72698830126484,9203.794875000003,9020.79456153846,183.00031346154356,77.78284465812128,210.43493760684456,9.743126658983412,17.846103085686277,-6.46282619442232,9577.210891313598,9051.165280000012,8525.119668686426
372,399001.SZ,20190702,9545.5222,9516.4173,9560.518,9483.1551,9530.4639,15.0583,0.158,306531371.0,309118809.6,77.36290000000008,0.81,30911880.96,3091.19,34757535.22,-3845654.26,-11.06,34757535.22,23187170.03,26716409.74,-3845654.259999998,11570365.189999998,-3529239.709999997,-11.06,49.9,-13.21,0,2.55,9323.241799999994,9222.138380000006,9017.586905,8993.856376666663,45.83532688601594,33.02971331839344,48.77201013554143,-333.40499999999884,-68.23021086180664,9150.547700000003,9003.871007692305,146.67669230769752,48.71848511396112,195.9164143874728,13.908690391162535,13.908639524061677,13.90879212536425,9530.791395435488,9017.586905000013,8504.382414564538
373,399001.SZ,20190701,9530.4639,9384.7881,9530.4639,9339.7699,9178.3135,352.1504,3.8368,337747139.0,347575352.2,190.69400000000132,2.0,34757535.22,3475.75,23187170.03,11570365.19,49.9,23187170.03,26716409.74,21917943.55,11570365.189999998,-3529239.709999997,4798466.189999998,49.9,-13.21,21.89,1,2.54,9237.757739999995,9148.017740000005,8983.160125,8972.875866666664,46.08340596660813,41.95245312305428,47.42484087654362,-316.1966000000011,-40.27460823929285,9089.264741666668,8974.303442307692,114.96129935897625,21.529061324786905,186.86447606837868,23.38224312548731,15.678020058544456,38.790689259373025,9439.2888269366,8983.160125000013,8527.031423063427
374,399001.SZ,20190628,9178.3135,9236.0636,9236.0636,9126.8875,9239.4839,-61.1704,-0.6621,243002500.0,231871700.3,109.17609999999877,1.19,23187170.03,2318.72,26716409.74,-3529239.71,-13.21,26716409.74,21917943.55,26899053.88,-3529239.709999997,4798466.189999998,-4981110.329999998,-13.21,21.89,-18.52,0,2.45,9174.088399999995,9073.058630000003,8952.77166,8955.200019999997,38.31573586221976,42.137306476826176,42.92762511346579,-43.354199999999764,-47.68229237668788,9041.026625,8946.575399999998,94.45122500000252,-2.923644230768736,194.7497384615425,34.46846622307157,23.91979991324051,55.5657988427337,9333.799859779348,8952.771660000011,8571.743460220674
375,399001.SZ,20190627,9239.4839,9154.0387,9274.4243,9152.6343,9122.4255,117.0584,1.2832,258679864.0,267164097.4,121.79000000000087,1.32,26716409.74,2671.64,21917943.55,4798466.19,21.89,21917943.55,26899053.88,28380934.45,4798466.189999998,-4981110.329999998,-1481880.5700000003,21.89,-18.52,-5.22,1,2.47,9181.279159999995,9036.239950000005,8941.023435,8959.033696666664,24.983797994967848,47.044965155074756,43.82465647762369,-313.7547999999988,-147.89945171489154,9022.393516666667,8941.302715384614,81.09080128205278,-25.652299216523815,213.4862009971532,48.90304761214542,35.58458565356813,75.53997152929999,9307.730864500176,8941.023435000012,8574.316005499848
376,399001.SZ,20190626,9122.4255,9064.126,9164.2803,9040.3205,9118.1019,4.3236,0.0474,223827834.0,219179435.5,123.95980000000054,1.36,21917943.55,2191.79,26899053.88,-4981110.33,-18.52,26899053.88,28380934.45,34512177.47,-4981110.329999998,-1481880.5700000003,-6131243.02,-18.52,-5.22,-17.77,0,2.44,9160.374239999994,9007.452210000003,8929.567140000001,8959.685213333332,20.111049604474427,34.50364510815666,49.66180557161624,-318.10969999999907,-147.5858655639056,9005.575966666665,8935.457992307693,70.11797435897279,-45.18371253561216,230.6033737891699,41.686378506292336,41.685964113836484,41.68720729120405,9271.758721745202,8929.567140000012,8587.375558254822
