,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount,high_low,pct_high_low,amount_w,amount_y,pre_amount_y,amount_change,pct_amount_change,amount_w_1,amount_w_2,amount_w_3,amount_change_1,amount_change_2,amount_change_3,pct_amount_change_1,pct_amount_change_2,pct_amount_change_3,amount_up,MA5,MA10,MA20,MA30
10,000001.SH,20200228,2880.304,2716.698,3058.898,2685.269,2976.528,-96.2243,-0.0323,653701708700.0,7556709668651.9,373.62900000000036,12.97,755670966.87,75567.1,44617.54,30949.56,69.37,446175388.14,441695001.48,335776728.03,309495578.73,4480386.659999967,105918273.45000005,69.37,1.01,31.54,3,2941.5985999999994,2930.9499000000005,,
11,000001.SH,20200123,2976.528,3066.336,3127.169,2955.346,3050.124,-73.5959,-0.0241,387340424100.0,4461753881403.0,171.82299999999987,5.77,446175388.14,44617.54,44169.5,448.04,1.01,441695001.48,335776728.03,297347228.39,4480386.659999967,105918273.45000005,38429499.639999986,1.01,31.54,12.92,3,2946.575599999999,2950.7534000000005,,
12,000001.SH,20191231,3050.124,2874.448,3051.677,2857.32,2871.981,178.1427,0.062,412769491100.0,4416950014848.7,194.35699999999997,6.37,441695001.48,44169.5,33577.67,10591.83,31.54,335776728.03,297347228.39,455844116.59,105918273.45000005,38429499.639999986,-158496888.2,31.54,12.92,-34.77,2,2928.5173999999997,2962.1764000000003,,
13,000001.SH,20191129,2871.981,2924.34,3008.314,2858.581,2929.056,-57.0748,-0.0195,304496168900.0,3357767280328.0,149.73299999999972,5.21,335776728.03,33577.67,29734.72,3842.95,12.92,297347228.39,455844116.59,426276001.7,38429499.639999986,-158496888.2,29568114.889999986,12.92,-34.77,6.94,1,2904.9937999999993,2951.2594000000004,,
14,000001.SH,20191031,2929.056,2905.756,3026.383,2891.539,2905.189,23.8669,0.0082,263518111200.0,2973472283905.0,134.8439999999996,4.6,297347228.39,29734.72,45584.41,-15849.69,-34.77,455844116.59,426276001.7,399226157.2,-158496888.2,29568114.889999986,27049844.5,-34.77,6.94,6.78,0,2926.3731999999995,2922.5185000000006,,
15,000001.SH,20190930,2905.189,2886.942,3042.928,2883.682,2886.237,18.9527,0.0066,394691554400.0,4558441165907.0,159.2460000000001,5.48,455844116.59,45584.41,42627.6,2956.81,6.94,426276001.7,399226157.2,384626057.87,29568114.889999986,27049844.5,14600099.329999983,6.94,6.78,3.8,3,2920.3011999999994,,,
16,000001.SH,20190830,2886.237,2920.851,2927.342,2733.924,2932.506,-46.2693,-0.0158,369448176300.0,4262760016981.0,193.41800000000012,6.7,426276001.7,42627.6,39922.62,2704.98,6.78,399226157.2,384626057.87,431792521.51,27049844.5,14600099.329999983,-47166463.639999986,6.78,3.8,-10.92,2,2954.9311999999995,,,
17,000001.SH,20190731,2932.506,3024.624,3048.484,2879.69,2978.878,-46.3726,-0.0156,371851528700.0,3992261571980.0,168.79399999999987,5.76,399226157.2,39922.62,38462.61,1460.01,3.8,384626057.87,431792521.51,756232613.32,14600099.329999983,-47166463.639999986,-324440091.81000006,3.8,-10.92,-42.9,1,2995.835399999999,,,
18,000001.SH,20190628,2978.878,2901.742,3012.826,2822.185,2898.696,80.1823,0.0277,397467749700.0,3846260578723.7,190.64100000000008,6.4,384626057.87,38462.61,43179.25,-4716.64,-10.92,431792521.51,756232613.32,830090644.95,-47166463.639999986,-324440091.81000006,-73858031.63,-10.92,-42.9,-8.9,0,2997.5249999999996,,,
19,000001.SH,20190531,2898.696,2984.727,2986.54,2833.036,3078.339,-179.6428,-0.0584,446512659500.0,4317925215105.7,153.5039999999999,5.3,431792521.51,43179.25,75623.26,-32444.01,-42.9,756232613.32,830090644.95,381614463.46,-324440091.81000006,-73858031.63,448476181.49000007,-42.9,-8.9,117.52,0,2918.6638,,,
20,000001.SH,20190430,3078.339,3111.662,3288.453,3050.026,3090.758,-12.4191,-0.004,748713308400.0,7562326133210.1,238.42700000000013,7.75,756232613.32,75623.26,83009.06,-7385.8,-8.9,830090644.95,381614463.46,280423242.37,-73858031.63,448476181.49000007,101191221.08999997,-8.9,117.52,36.09,0,,,,
21,000001.SH,20190329,3090.758,2954.402,3129.94,2930.835,2940.954,149.8042,0.0509,869192544500.0,8300906449480.0,199.10500000000002,6.44,830090644.95,83009.06,38161.45,44847.61,117.52,381614463.46,280423242.37,,448476181.49000007,101191221.08999997,,117.52,36.09,,1,,,,
22,000001.SH,20190228,2940.954,2597.778,2997.488,2590.554,2584.572,356.3814,0.1379,442180830800.0,3816144634586.0,406.93399999999974,13.84,381614463.46,38161.45,28042.32,10119.13,36.09,280423242.37,,,101191221.08999997,,,36.09,,,1,,,,
23,000001.SH,20190131,2584.572,2497.881,2630.318,2440.907,2493.896,90.6762,0.0364,338564070300.0,2804232423673.0,189.41100000000006,7.33,280423242.37,28042.32,,,,,,,,,,,,,0,,,,
